,config,score
0,"[(2, 1, 2), (0, 1, 2, 24), 'n']",1.082117832572393
1,"[(2, 1, 1), (1, 1, 2, 24), 'n']",1.0859682373658481
2,"[(0, 1, 0), (1, 1, 2, 24), 't']",1.0866086180811896
3,"[(1, 0, 0), (1, 1, 2, 24), 'n']",1.0867552281745385
4,"[(2, 0, 0), (1, 1, 2, 24), 'n']",1.086940139167192
5,"[(0, 1, 0), (1, 1, 2, 24), 'n']",1.0890101124252645
6,"[(1, 1, 1), (0, 1, 1, 24), 't']",1.0907469532171852
7,"[(1, 1, 0), (1, 1, 2, 24), 't']",1.0914722031525776
8,"[(2, 0, 1), (1, 1, 2, 24), 'n']",1.0919815386429084
9,"[(2, 1, 1), (1, 1, 2, 24), 'c']",1.0923157153408976
10,"[(1, 1, 0), (1, 1, 2, 24), 'n']",1.0926376429368507
11,"[(0, 1, 1), (1, 1, 2, 24), 'n']",1.092718220409082
12,"[(0, 1, 0), (1, 1, 2, 24), 'c']",1.0934931972545305
13,"[(2, 1, 0), (1, 1, 2, 24), 'n']",1.0943949317398556
14,"[(1, 0, 1), (1, 1, 2, 24), 'n']",1.0950994261868303
15,"[(2, 1, 0), (1, 1, 2, 24), 't']",1.0951821131175377
16,"[(2, 0, 2), (1, 1, 2, 24), 'n']",1.095596699472283
17,"[(0, 1, 1), (1, 1, 2, 24), 'c']",1.0979401485672435
18,"[(1, 0, 2), (1, 1, 2, 24), 'n']",1.0979602519018388
19,"[(1, 0, 0), (0, 1, 1, 24), 'n']",1.0981618935067798
20,"[(2, 1, 1), (1, 1, 2, 24), 't']",1.0982597977314645
21,"[(1, 1, 1), (1, 1, 2, 24), 'n']",1.0982621620740816
22,"[(1, 0, 0), (1, 1, 2, 24), 'c']",1.0986727409070172
23,"[(2, 0, 0), (1, 1, 2, 24), 'c']",1.0988959808620624
24,"[(1, 1, 2), (1, 1, 2, 24), 't']",1.0989947835922096
25,"[(2, 0, 0), (0, 1, 1, 24), 'n']",1.0990414312210068
26,"[(2, 1, 0), (1, 1, 2, 24), 'c']",1.09913749839884
27,"[(0, 1, 1), (0, 1, 2, 24), 'n']",1.0996946976747297
28,"[(0, 1, 2), (1, 1, 2, 24), 'n']",1.0998756813481236
29,"[(1, 0, 0), (1, 1, 1, 24), 'n']",1.1022282956688723
30,"[(1, 1, 0), (1, 1, 2, 24), 'c']",1.102252227411903
31,"[(0, 1, 1), (0, 1, 2, 24), 'c']",1.1025914564950303
32,"[(2, 1, 1), (0, 1, 2, 24), 'n']",1.1027248585206229
33,"[(0, 1, 2), (1, 1, 2, 24), 'c']",1.1029231705823634
34,"[(1, 1, 1), (0, 1, 2, 24), 'n']",1.1032063383129005
35,"[(1, 1, 1), (1, 1, 2, 24), 'c']",1.1037903459708793
36,"[(0, 1, 2), (0, 1, 2, 24), 'n']",1.1044361737156165
37,"[(0, 1, 1), (0, 1, 2, 24), 't']",1.1045784775339371
38,"[(2, 0, 1), (1, 1, 2, 24), 't']",1.1046669008683168
39,"[(2, 1, 2), (1, 1, 2, 24), 'n']",1.105176206243323
40,"[(1, 1, 1), (1, 1, 2, 24), 'ct']",1.105553312179009
41,"[(1, 0, 0), (1, 1, 2, 24), 't']",1.105616224144505
42,"[(2, 0, 1), (1, 1, 2, 24), 'c']",1.1056656846750457
43,"[(1, 0, 2), (0, 1, 2, 24), 'n']",1.106271955095142
44,"[(2, 1, 1), (0, 1, 2, 24), 'c']",1.1064528828282827
45,"[(1, 1, 1), (0, 1, 2, 24), 'c']",1.1067883517084482
46,"[(0, 1, 2), (0, 1, 2, 24), 'c']",1.1067979371932097
47,"[(2, 0, 2), (2, 0, 2, 24), 'n']",1.1071385741203579
48,"[(1, 0, 0), (0, 1, 1, 24), 'c']",1.108042025078112
49,"[(1, 1, 1), (1, 1, 2, 24), 't']",1.1080447641122335
50,"[(1, 0, 1), (0, 1, 2, 24), 'n']",1.1086696572703236
51,"[(1, 0, 0), (1, 1, 2, 24), 'ct']",1.1089808772726581
52,"[(2, 0, 0), (0, 1, 1, 24), 'c']",1.1090410181285
53,"[(1, 0, 1), (1, 1, 2, 24), 'c']",1.109158146949534
54,"[(0, 1, 1), (1, 1, 2, 24), 't']",1.1093007838598667
55,"[(0, 1, 1), (0, 1, 2, 24), 'ct']",1.1094886332547116
56,"[(1, 1, 1), (0, 1, 2, 24), 't']",1.1101454786272547
57,"[(2, 1, 1), (0, 1, 2, 24), 't']",1.1102920164982395
58,"[(0, 1, 0), (0, 1, 2, 24), 'n']",1.1105468892247665
59,"[(1, 1, 0), (0, 1, 2, 24), 'n']",1.1107768267936915
60,"[(2, 0, 2), (1, 1, 2, 24), 'c']",1.1107849973993753
61,"[(1, 0, 1), (1, 1, 2, 24), 't']",1.1109621432004224
62,"[(2, 0, 1), (0, 1, 1, 24), 't']",1.111184102198662
63,"[(0, 1, 2), (0, 1, 2, 24), 't']",1.1112998243735683
64,"[(2, 0, 1), (0, 1, 2, 24), 'n']",1.1113175462989158
65,"[(1, 1, 1), (0, 1, 2, 24), 'ct']",1.1119114158417374
66,"[(2, 1, 2), (0, 1, 1, 24), 'n']",1.1121591750205946
