id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,milesfromstat
0CNUO,Rawson Lake,CA,ON,,,49.65,-93.72,358.0,America/Rainy_River,,,2000-01-01,2022-08-10,2000-01-01,2022-01-01,701.7676669528157
0CO7B,Kingsville Moe,CA,ON,,,42.04,-82.67,200.0,America/Toronto,,,2000-01-01,2022-09-17,2000-01-01,2021-01-01,56.68356443450756
0FV1F,Tillsonburg Wwtp,CA,ON,,,42.86,-80.72,213.0,America/Toronto,,,2000-01-01,2022-09-18,2000-01-01,2021-01-01,160.56015709302665
13178,Jamestown,CA,ON,,,43.8,-81.18,319.0,America/Toronto,,,2006-04-01,2015-07-04,2006-01-01,2015-01-01,169.51975895354354
1J1PJ,Gore Bay,CA,ON,71956,,45.88,-82.57,189.0,America/Nipigon,2020-01-01,2022-09-21,2010-07-09,2022-09-18,2010-01-01,2022-01-01,259.1772146573859
1JWST,Lake Superior Provincial Park,CA,ON,71640,,47.72,-84.81,401.0,America/Nipigon,2020-01-01,2022-09-21,2013-11-19,2022-09-19,2014-01-01,2022-01-01,383.14634483916643
20QWH,Rennie,CA,MB,,,49.85,-95.53,323.0,America/Winnipeg,,,2000-01-01,2022-09-15,2000-01-01,2009-01-01,772.1467890298829
21O3U,Royal Island,CA,ON,71859,,49.47,-94.76,329.0,America/Rainy_River,2020-09-23,2022-09-20,2016-01-07,2022-09-17,2016-01-01,2022-01-01,728.770717802805
2FXL8,Sandfield,CA,ON,,,45.69,-81.98,231.0,America/Nipigon,,,2000-01-01,2018-05-30,2000-01-01,2018-01-01,255.03196479804078
2W8UZ,Chatham Kent,CA,ON,,,42.31,-82.08,197.0,America/Toronto,2020-01-01,2022-09-21,2018-10-29,2022-09-19,2018-01-01,2022-01-01,85.5976645075707
3S56J,Rawson Lake,CA,ON,71855,,49.66,-93.73,435.0,America/Rainy_River,2020-01-01,2022-09-20,2003-12-01,2022-09-18,2003-01-01,2021-01-01,702.5677577138224
44BUQ,Stratford Wwtp,CA,ON,,,43.37,-81.0,345.0,America/Toronto,,,2000-01-01,2016-10-10,2000-01-01,2006-01-01,160.4504503036307
4DUJO,Fergus Shand Dam,CA,ON,,,43.73,-80.33,418.0,America/Toronto,,,2000-01-01,2022-09-18,2000-01-01,2022-01-01,201.94944276131008
58G7B,St Alphonse,CA,MB,,,49.45,-99.02,403.0,America/Winnipeg,,,2000-01-01,2016-06-12,2000-01-01,2016-01-01,887.7867408616615
5KQCG,Mahnomen County Airport,US,MN,,K3N8,47.2605,-95.9281,383.0,America/Chicago,2022-05-06,2022-09-21,,,,,691.989422204492
5RUZT,Woodstock,CA,ON,,,43.14,-80.77,282.0,America/Toronto,,,2000-01-01,2022-09-09,2000-01-01,2006-01-01,164.21712339043816
6N2T2,Chatham Wpcp,CA,ON,,,42.39,-82.22,180.0,America/Toronto,,,2000-01-01,2019-02-20,2000-01-01,2006-01-01,79.00572568261224
6URQB,Portage La Prairie CDA,CA,MB,,,49.95,-98.27,259.0,America/Winnipeg,,,2000-01-01,2022-09-16,2000-01-01,2022-01-01,876.1028198691641
71140,Brandon Airport,CA,MB,71140,CYBR,49.91,-99.95,409.0,America/Winnipeg,1977-07-01,2022-09-22,1941-07-01,2022-09-19,1941-01-01,2022-01-01,939.5808714929723
71147,Carman U Of M CS,CA,MB,71147,CWNK,49.5,-98.03,268.0,America/Winnipeg,1996-11-01,2022-09-22,1995-06-27,2022-09-18,1995-01-01,2022-01-01,850.7261511763694
71148,Pilot Mound,CA,MB,71148,CWPO,49.19,-98.9,470.0,America/Winnipeg,1957-12-04,2022-09-22,1957-12-01,2022-09-18,1957-01-01,2022-01-01,874.5568568704755
71170,Carberry CS,CA,MB,71170,CWCM,49.91,-99.36,384.0,America/Winnipeg,1994-09-01,2022-09-20,1994-07-27,2022-09-18,1995-01-01,2022-01-01,916.5088167539558
71172,Parry Sound,CA,ON,71172,CXPC,45.34,-80.04,176.0,America/Nipigon,2004-08-03,2022-09-22,2002-10-03,2022-09-18,2002-01-01,2022-01-01,283.950926627458
71260,Sault Ste Marie Airport,CA,ON,71260,CYAM,46.49,-84.51,192.0,America/Toronto,1986-04-25,2022-09-22,1986-04-26,2022-09-19,1994-01-01,2022-01-01,297.0396863773898
71261,Goderich,CA,ON,71261,CWGD,43.77,-81.72,214.0,America/Toronto,1981-10-26,2022-09-22,1981-10-27,2022-09-20,1983-01-01,2022-01-01,148.10639571311594
71268,Elliot Lake,CA,ON,,CYEL,46.3514,-82.5614,331.0,America/Nipigon,1978-01-11,2012-04-02,,,,,291.02506821427204
71270,Collingwood,CA,ON,71270,CWCO,44.5,-80.22,180.0,America/Toronto,1994-12-01,2022-09-22,1994-12-30,2022-09-18,1995-01-01,2022-01-01,237.11643024214186
71273,Belle River,CA,SK,,KWDD,42.3,-82.7,184.0,America/Toronto,1994-12-01,2022-08-23,1995-01-07,2022-09-18,2009-01-01,2022-01-01,53.87011311418829
71283,Oliphant  Ont,CA,AB,,CWDF,44.7333,-81.2833,182.0,America/Toronto,,,2008-06-06,2022-09-18,2008-01-01,2022-01-01,212.94539721350938
71291,Cameron Falls,CA,ON,71291,CXCA,49.15,-88.34,233.0,America/Nipigon,2003-06-17,2022-09-22,1998-03-09,2022-09-18,1998-01-01,2022-01-01,527.309502634679
71292,Cyprus Lake / Tobermory,CA,ON,,CXCY,45.2333,-81.5333,190.0,America/Toronto,2003-06-17,2022-08-23,2004-09-22,2022-09-18,2008-01-01,2022-01-01,235.4744027253901
71298,Harrow CDA,CA,ON,71298,CXHA,42.03,-82.9,191.0,America/Toronto,2003-06-17,2022-09-22,2000-07-26,2022-09-18,2000-01-01,2022-01-01,45.442063683100734
71299,Kapuskasing CDA On,CA,ON,71299,CXKA,49.41,-82.44,218.0,America/Nipigon,2003-06-17,2022-09-22,2000-08-23,2022-09-18,2000-01-01,2022-01-01,500.3293995447527
71301,Kirkland Lake CS,CA,ON,71301,CYKX,48.15,-80.0,324.0,America/Nipigon,2004-09-21,2022-08-26,1997-06-02,2022-08-24,1997-01-01,2022-01-01,448.1676008121488
71303,Point Pelee CS,CA,ON,71303,CXPT,41.95,-82.52,177.0,America/Toronto,2004-08-24,2022-09-20,1999-01-01,2022-09-18,1999-01-01,2022-01-01,65.76588939761638
71307,Ridgetown RCS,CA,ON,71307,,42.45,-81.88,206.0,America/Toronto,2004-05-10,2022-09-17,2003-02-01,2022-09-12,2003-01-01,2022-01-01,96.80958533996177
71352,Elora RCS,CA,ON,71352,CZEL,43.65,-80.42,376.0,America/Toronto,2004-06-08,2022-09-22,1969-03-01,2022-09-18,1969-01-01,2022-01-01,195.30607574827482
71368,Kitchener/waterloo,CA,ON,71368,CYKF,43.46,-80.38,322.0,America/Toronto,1993-05-20,2022-09-22,2002-10-03,2022-09-18,2008-01-01,2022-01-01,191.0798101158478
71433,Caribou Island,CA,ON,71433,CWCI,47.33,-85.83,187.0,America/Nipigon,1980-03-01,2022-09-22,1980-03-11,2022-09-20,1996-01-01,2021-01-01,367.2063142359635
71435,Upsala,CA,ON,71435,CWDV,49.03,-90.47,488.0,America/Nipigon,1981-10-26,2022-09-22,1973-01-01,2022-09-18,1973-01-01,2022-01-01,571.4790082405755
