Feature,Importance
ATAhr-temp,0.24823038045857612
temp,0.19726181144187824
L5Ahr-temp,0.11420071458141248
ATAday-temp,0.09201138138299247
L5Aday-temp,0.05057900200402811
ATAhr-dwpt,0.037128939012249236
L5Aday-dwpt,0.03624643516996018
dwpt,0.0358373110583905
ATAday-dwpt,0.03503660803768447
L5Ahr-dwpt,0.025852592718715536
pres,0.016471860867671634
wdir,0.015593958368754301
wspd,0.009746486593596561
ATAhr-rhum,0.00793074099255833
rhum,0.0071231719610738205
Hour,0.005058422222832585
L5Ahr-rhum,0.00403429698362635
DayOfYear,0.004012462155814525
ATAday-wdir,0.003650798939326132
L5Aday-wdir,0.003592199745937737
ATAday-prcp,0.003539032808821616
ATAday-wspd,0.0034201442376290197
L5Aday-wspd,0.0033817786166256336
L5Aday-prcp,0.003351229437514036
ATAday-pres,0.00330662950279277
L5Aday-rhum,0.0032241925594813604
L5Aday-pres,0.0031647507625380544
ATAday-rhum,0.0031260518626551087
L5Ahr-pres,0.0028769531926547192
ATAhr-wspd,0.002846385546049863
ATAhr-pres,0.00284283824169175
HourOfYear,0.0028373284183545885
prcp,0.0027316387091719783
L5Ahr-wspd,0.002205494326241273
ATAhr-wdir_y,0.0021858036477395803
ATAhr-wdir_x,0.002059656763646908
ATAhr-prcp,0.001746634366292064
L5Ahr-prcp,0.0015538823030204548
