,station,total,id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,milesfromstat
206,KARB0,8736,KARB0,Ann Arbor / Pittsfield,US,MI,,KARB,42.223,-83.7456,256.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,0.0
416,KMML0,6432,KMML0,Marshall,US,MN,,KMML,44.4517,-95.8244,361.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2008-01-01,2022-01-01,627.1328877300687
325,KGAF0,5348,KGAF0,Grafton,US,ND,,KGAF,48.4047,-97.3709,251.0,America/Chicago,2010-11-18,2022-09-22,2010-11-19,2022-04-24,2014-01-01,2022-01-01,787.526654164136
323,KFSW0,5323,KFSW0,Fort Madison / Summit (Historical),US,IA,,KFSW,40.6593,-91.3268,220.0,America/Chicago,2006-01-03,2022-09-22,2006-01-05,2022-04-24,2014-01-01,2021-01-01,408.0457676874495
208,KARV0,5320,KARV0,Minocqua / Woodruff,US,WI,,KARV,45.9279,-89.7309,497.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2009-01-01,2022-01-01,392.4650806467471
422,KMQB0,5304,KMQB0,Macomb / Good Hope,US,IL,,KMQB,40.5201,-90.6524,215.0,America/Chicago,2006-02-01,2022-09-22,2006-02-15,2022-04-24,2012-01-01,2022-01-01,377.65713299744
418,KMNN0,5278,KMNN0,Marion / Logan (Historical),US,OH,,KMNN,40.6163,-83.0635,303.0,America/New_York,2006-01-01,2022-09-22,2006-01-01,2022-04-21,2006-01-01,2022-01-01,116.40214917978744
520,KTNU0,5264,KTNU0,Newton / Coal Siding (Historical),US,IA,,KTNU,41.6744,-93.0217,291.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2011-01-01,2022-01-01,479.1853821309554
524,KTVC0,5247,KTVC0,Traverse City / Treverse City [Misspelling] / Town And Country Mobile Village,US,MI,,KTVC,44.7416,-85.5824,190.0,America/Detroit,1973-01-01,2022-09-22,1973-01-02,2022-04-24,1981-01-01,2022-01-01,196.8555339754713
85,72420,5216,72420,Mansfield / Amoy,US,OH,72420.0,KMFD,40.8214,-82.5166,395.0,America/New_York,2005-01-01,2022-09-22,1948-08-01,2022-09-14,1948-01-01,2022-01-01,115.83764509428116
523,KTTF0,5186,KTTF0,Monroe / Patterson Gardens,US,MI,,KTTF,41.9399,-83.4347,188.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-25,2006-01-01,2022-01-01,25.24479662158989
204,KAOH0,5163,KAOH0,Lima / Eastwood Estates,US,OH,,KAOH,40.7075,-84.0271,297.0,America/New_York,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,105.6023135198338
330,KGHW0,5161,KGHW0,Glenwood / Pine Hill Park,US,MN,,KGHW,45.6439,-95.3204,425.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-15,2006-01-01,2022-01-01,623.19698810089
526,KTYQ0,5146,KTYQ0,Indianapolis / Jolietville,US,IN,,KTYQ,40.0307,-86.2514,281.0,America/Indiana/Indianapolis,2014-01-01,2022-09-22,2014-01-01,2022-04-25,2014-01-01,2022-01-01,199.9361265470256
518,KTKC0,5134,KTKC0,Tracy,US,MN,,KTKC,44.2491,-95.6073,408.0,America/Chicago,2006-01-01,2022-09-22,2006-01-04,2022-04-01,2008-01-01,2022-01-01,614.2136301975239
517,KTEW0,5003,KTEW0,Mason,US,MI,,KTEW,42.5658,-84.4232,280.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-25,2007-01-01,2022-01-01,41.971948449391
326,KGDB0,4976,KGDB0,Granite Falls / Lorne,US,MN,,KGDB,44.7533,-95.556,319.0,America/Chicago,2006-01-01,2022-09-22,2006-01-04,2022-04-24,2006-01-01,2022-01-01,618.1578322651296
212,KATY0,4922,KATY0,Watertown,US,SD,,KATY,44.914,-97.1547,533.0,America/Chicago,1948-01-01,2022-09-22,1948-01-24,2022-04-24,1948-01-01,2022-01-01,697.3441811506647
324,KFXY0,4920,KFXY0,Forest City,US,IA,,KFXY,43.2348,-93.6241,375.0,America/Chicago,2009-07-14,2022-09-22,2009-07-16,2022-04-24,2015-01-01,2022-01-01,507.2317124980732
414,KMKT0,4881,KMKT0,Mankato / Knollwood Park,US,MN,,KMKT,44.2228,-93.9193,311.0,America/Menominee,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,531.4373625570726
413,KMJQ0,4877,KMJQ0,Jackson,US,MN,,KMJQ,43.65,-94.9865,441.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,578.1069562276747
215,KAWG0,4864,KAWG0,Washington,US,IA,,KAWG,41.275,-91.6752,230.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2014-01-01,2022-01-01,414.8552043980395
322,KFSE0,4843,KFSE0,Fosston,US,MN,,KFSE,47.5928,-95.7735,390.0,America/Chicago,2006-01-01,2022-09-14,2006-01-01,2022-04-24,2007-01-01,2022-01-01,695.8496260292759
528,KUCP0,4813,KUCP0,New Castle / Parkstown,US,PA,,KUCP,41.0254,-80.4134,326.0,America/New_York,2006-05-01,2022-09-22,2006-05-02,2022-04-24,2008-01-01,2022-01-01,191.30472950459597
419,KMOP0,4794,KMOP0,Mt Pleasant / Broadway Acres Mobile Home Park,US,MI,,KMOP,43.6216,-84.7373,230.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,108.86374024944683
201,KAMW0,4774,KAMW0,Ames / Old Orchard Mobile Home Park,US,IA,,KAMW,41.9921,-93.6218,291.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,507.5464865837735
202,KANQ0,4757,KANQ0,Angola / Flint,US,IN,,KANQ,41.6397,-85.0835,303.0,America/Indiana/Indianapolis,2020-01-14,2022-09-22,2020-01-14,2022-04-24,2020-01-01,2022-01-01,79.84114013411553
327,KGFK0,4732,KGFK0,Grand Forks / Powell,US,ND,,KGFK,47.9473,-97.1738,257.0,America/Chicago,2010-08-01,2022-09-22,2010-08-01,2022-04-24,2010-01-01,2022-01-01,765.0853293979702
320,KFPK0,4685,KFPK0,Charlotte / Meadows Mobile Home Park,US,MI,,KFPK,42.5745,-84.8114,272.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,59.678156335490975
200,KAMN0,4654,KAMN0,Alma / Eugene,US,MI,,KAMN,43.3221,-84.6879,230.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,89.73237166685479
415,KMLE0,4643,KMLE0,Omaha / Millard,US,NE,,KMLE,41.196,-96.1123,320.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,642.8776589709018
319,KFOZ0,4641,KFOZ0,Bigfork,US,MN,,KFOZ,47.7828,-93.6502,412.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,617.9134798720664
210,KASX0,4637,KASX0,Ashland / Ashland Junction,US,WI,,KASX,46.5485,-90.919,252.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,463.723704707905
321,KFRM0,4576,KFRM0,Fairmont / Fairmont Estates,US,MN,,KFRM,43.6439,-94.4156,354.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,549.611531330904
83,72019,4575,72019,Munsing Lakeshore,US,MI,72019.0,KP53,46.4167,-86.65,187.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,323.3151623505829
521,KTOB0,4548,KTOB0,Dodge Center,US,MN,,KTOB,44.018,-92.8315,398.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-03-30,2007-01-01,2022-01-01,475.5887214773892
525,KTWM0,4541,KTWM0,Two Harbors / Waldo,US,MN,,KTWM,47.0491,-91.7452,327.0,America/Chicago,2006-01-01,2022-09-22,2006-01-03,2022-04-24,2007-01-01,2021-01-01,515.8616906435211
533,KUSE0,4538,KUSE0,Wauseon / Ottokee,US,OH,,KUSE,41.6101,-84.1272,238.0,America/New_York,2020-01-14,2022-09-22,2020-01-14,2022-04-25,2020-01-01,2022-01-01,46.65027516719817
214,KAUM0,4537,KAUM0,Austin,US,MN,,KAUM,43.6626,-92.9329,376.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,476.1359307612848
410,KMIC0,4529,KMIC0,Minneapolis / Brooklyn Center,US,MN,,KMIC,45.062,-93.3539,265.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2021-01-01,519.6491087544881
